input,output
What basic training will be included in the curriculum regarding health?,"Basic training in health, including preventive health, mental health, good nutrition, personal and public hygiene, disaster response, and first-aid will be included in the curriculum."
What will all curriculum and pedagogy be redesigned to be strongly rooted in?,"All curriculum and pedagogy will be redesigned to be strongly rooted in the Indian and local context and ethos, including culture, traditions, heritage, customs, language, philosophy, geography, ancient and contemporary knowledge, societal and scientific needs, indigenous and traditional ways of learning."
Why is it important for education to be rooted in the Indian and local context?,"Education needs to be maximally relatable, relevant, interesting, and effective for students, which is best achieved when it is rooted in the Indian and local context."
What aspects of education will be chosen to be rooted in the Indian and local context?,"Stories, arts, games, sports, examples, problems, etc. will be chosen as much as possible to be rooted in the Indian and local geographic context."
What organization will undertake the formulation of a new National Curricular Framework for School Education?,The NCERT will undertake the formulation of a new and comprehensive National Curricular Framework for School Education (NCFSE) 2020-21.
How often will the NCFSE document be revisited and updated?,"The NCFSE document shall be revisited and updated once every 5-10 years, taking into account frontline curriculum needs."
What changes in school textbooks must accompany the reduction in content and increased flexibility of school curriculum?,Parallel changes in school textbooks must accompany the reduction in content and increased flexibility of school curriculum.
What will all textbooks aim to contain?,"All textbooks shall aim to contain the essential core material deemed important on a national level, together with discussion, analysis, examples, and applications, as well as any desired nuances and supplementary material as per local contexts and needs."
How will schools and teachers have choices in the textbooks they employ?,Schools and teachers will have choices in the textbooks they employ from among a set of textbooks that contain the requisite national and local material.
What will be the aim in providing quality textbooks?,"The aim will be to provide such quality textbooks at the lowest possible cost, namely, at the cost of production/printing, in order to mitigate the burden of textbook prices on the students and on the educational system."
How may the cost of textbook production be mitigated?,"The cost of textbook production may be mitigated by using high-quality textbook materials developed by NCERT in conjunction with the SCERTs, and additional textbook materials could be funded by public-philanthropic partnerships and crowd sourcing."
What will be the top priority regarding the availability of textbooks?,The availability of such textbooks in all regional languages will be a top priority so that all students have access to high-quality learning.
What concerted efforts will be made to reduce the weight of school bags and textbooks?,"Concerted efforts, through suitable changes in curriculum and pedagogy, will be made by NCERT, SCERTs, schools, and educators to significantly reduce the weight of school bags and textbooks."
What will be the shift in the aim of assessment in the culture of our schooling system?,"The aim of assessment in the culture of our schooling system will shift from one that is summative and primarily tests rote memorization skills to one that is more regular and formative, is more competency-based, promotes learning and development for our students, and tests higher-order skills, such as analysis, critical thinking, and conceptual clarity."
What will be the primary purpose of assessment at all levels of education?,"The primary purpose of assessment at all levels of education will indeed be for learning; it will help the teacher and student, and the entire schooling system, continuously revise teaching-learning processes to optimize learning and development for all students."
How will the progress card of all students for school-based assessment be redesigned?,"The progress card of all students for school-based assessment will be completely redesigned by States/UTs under guidance from the proposed National Assessment Centre, NCERT, and SCERTs. It will be a holistic, 360-degree, multidimensional report that reflects in great detail the progress as well as the uniqueness of each learner in the cognitive, affective, and psychomotor domains."
What will the progress card include?,"The progress card will include self-assessment and peer assessment, and progress of the child in project-based and inquiry-based learning, quizzes, role plays, group work, portfolios, etc., along with teacher assessment."
What will the progress card form an important link between?,The holistic progress card will form an important link between home and school and will be accompanied by parent-teacher meetings in order to actively involve parents in their children’s holistic education and development.
What harm is the current nature of secondary school exams causing?,"The current nature of secondary school exams, including Board exams and entrance exams, are doing much harm, especially at the secondary school level, replacing valuable time for true learning with excessive exam coaching and preparation. These exams also force students to learn a very narrow band of material in a single stream, rather than allowing the flexibility and choice that will be so important in the education system of the future."
What reforms are proposed for the existing system of Board and entrance examinations?,"To reverse the harmful effects of the current assessment system, Board exams will be redesigned to encourage holistic development; students will be able to choose many of the subjects in which they take Board exams, depending on their individualized interests. Board exams will also be made ‘easier’, in the sense that they will test primarily core capacities/competencies rather than months of coaching and memorization."
How many occasions will students be allowed to take Board Exams during any given school year?,"All students will be allowed to take Board Exams on up to two occasions during any given school year, one main examination and one for improvement, if desired."
What are some possible reforms that may be introduced to reduce pressure and the coaching culture in Board exams?,"Possible reforms to reduce pressure and the coaching culture in Board exams include developing a system of annual/semester/modular Board Exams that each test far less material and are taken immediately after the corresponding course is taken in school, offering subjects and assessments at two levels, and redesigning Board exams in certain subjects to have two parts."
What are the proposed guidelines for transforming the assessment system by the 2022-23 academic session?,"Guidelines will be prepared by NCERT, in consultation with major stakeholders, such as SCERTs, Boards of Assessment (BoAs), the proposed new National Assessment Centre etc., and teachers prepared, for a transformation in the assessment system by the 2022-23 academic session, to align with the NCFSE 2020-21."
What examinations will students take throughout the school years besides the end of Grades 10 and 12?,"To track progress throughout the school years, and not just at the end of Grades 10 and 12, all students will take school examinations in Grades 3, 5, and 8 which will be conducted by the appropriate authority."
"What is the purpose of the proposed National Assessment Centre, PARAKH?","The proposed National Assessment Centre, PARAKH (Performance Assessment, Review, and Analysis of Knowledge for Holistic Development), aims to set norms, standards, and guidelines for student assessment and evaluation for all recognized school boards of India, guiding the State Achievement Survey (SAS) and undertaking the National Achievement Survey (NAS), among other objectives."
How will university entrance exams be reformed?,"The National Testing Agency (NTA) will offer a high-quality common aptitude test, as well as specialized common subject exams in the sciences, humanities, languages, arts, and vocational subjects, at least twice every year. These exams shall test conceptual understanding and the ability to apply knowledge and shall aim to eliminate the need for taking coaching for these exams."
What measures will be taken to support gifted students or those with special talents?,"Teacher education will include methods for the recognition and fostering of such student talents and interests. Additionally, B.Ed. programmes may allow a specialization in the education of gifted children. Topic-centered and Project-based Clubs and Circles will be encouraged and supported at various levels of schools."
What initiatives will be encouraged to provide enrichment opportunities for students?,"High-quality national residential summer programmes for secondary school students in various subjects will be encouraged, with a rigorous merit-based but equitable admission process. Olympiads and competitions in various subjects will also be conducted across the country, with clear coordination and progression from school to local to state to national levels."
What criteria will be considered for admissions into undergraduate programmes at public and private universities?,"Public and private universities, including premier institutions like the IITs and NITs, would be encouraged to use merit-based results from National, and International Olympiads, and results from other relevant national programmes, as part of the criteria for admissions into their undergraduate programmes."
What role will online apps and digital resources play in enhancing student activities?,"Once internet-connected smart phones or tablets are available in all homes and/or schools, online apps with quizzes, competitions, assessments, enrichment materials, and online communities for shared interests will be developed to enhance all the aforementioned initiatives, as group activities for students with appropriate supervision of parents and teachers."
How will the proposed changes in Board exams affect students?,The existing system of Board and entrance examinations shall be reformed to eliminate the need for undertaking coaching classes. Board exams will be redesigned to encourage holistic development and test primarily core capacities/competencies rather than months of coaching and memorization.
What measures will be taken to reduce pressure and the coaching culture in Board exams?,"Possible reforms include developing a system of annual/semester/modular Board Exams that each test far less material and are taken immediately after the corresponding course is taken in school, offering subjects and assessments at two levels, and redesigning Board exams in certain subjects to have two parts."
What steps will be taken to reduce the weight of school bags and textbooks?,"Concerted efforts will be made by NCERT, SCERTs, schools, and educators to significantly reduce the weight of school bags and textbooks."
"How will school examinations in Grades 3, 5, and 8 be conducted?","School examinations in Grades 3, 5, and 8 will be conducted by the appropriate authority and will test achievement of basic learning outcomes, through assessment of core concepts and knowledge from the national and local curricula, along with relevant higher-order skills and application of knowledge in real-life situations, rather than rote memorization."
"What will be the role of the proposed National Assessment Centre, PARAKH?","The proposed National Assessment Centre, PARAKH, will set norms, standards, and guidelines for student assessment and evaluation for all recognized school boards of India, guide the State Achievement Survey (SAS) and undertake the National Achievement Survey (NAS), among other objectives."
How will the National Testing Agency (NTA) reform university entrance exams?,The National Testing Agency (NTA) will offer a high-quality common aptitude test and specialized common subject exams in various subjects at least twice every year. These exams will aim to eliminate the need for coaching and test conceptual understanding and the ability to apply knowledge.
What initiatives will be encouraged to support gifted students or those with special talents?,High-quality national residential summer programmes and Olympiads and competitions in various subjects will be encouraged to support gifted students or those with special talents.
What criteria will universities consider for admissions into undergraduate programmes?,Universities will be encouraged to use merit-based results from National and International Olympiads and other relevant national programmes as part of the criteria for admissions into undergraduate programmes.
How will online apps and digital resources enhance student activities?,"Online apps with quizzes, competitions, assessments, enrichment materials, and online communities for shared interests will be developed to enhance student activities, with appropriate supervision of parents and teachers."
What changes will be made to Board exams to reduce pressure and the coaching culture?,"Board exams will be redesigned to encourage holistic development and test primarily core capacities/competencies rather than months of coaching and memorization. Possible reforms include developing a system of annual/semester/modular Board Exams, offering subjects and assessments at two levels, and redesigning Board exams in certain subjects."
What steps will be taken to provide enrichment opportunities for students?,"Topic-centered and Project-based Clubs and Circles will be encouraged and supported at various levels of schools. Additionally, high-quality national residential summer programmes and Olympiads and competitions in various subjects will be conducted."
What measures will be implemented to ensure timely availability of textbooks?,Efforts will be made to ensure timely availability of textbooks in schools. Access to downloadable and printable versions of all textbooks will be provided by all States/UTs and NCERT to help conserve the environment and reduce the logistical burden.
What is the purpose of merit-based scholarships for B.Ed. programmes?,"To ensure that outstanding students enter the teaching profession, especially from rural areas."
What is a special feature of merit-based scholarships in rural areas?,They include preferential employment in local areas upon successful completion of B.Ed. programmes.
Who are the primary beneficiaries of the rural merit-based scholarships?,"Local students, especially female students."
What role are the recipients of rural scholarships expected to serve in their communities?,They are expected to serve as local-area role models and highly qualified teachers who speak the local language.
What incentive is provided to teachers for taking up teaching jobs in rural areas?,Provision of local housing near or on the school premises or increased housing allowances.
What will be halted to ensure continuity in students' role models and educational environments?,The harmful practice of excessive teacher transfers.
Under what circumstances will teacher transfers occur?,"In very special circumstances, as suitably laid down in a structured manner by State/UT governments."
How will the teacher transfer process be conducted to ensure transparency?,Through an online computerized system.
Why are teachers considered crucial for the future of the nation?,"Teachers truly shape the future of our children - and, therefore, the future of our nation."
Why was the teacher the most respected member of society in India?,Because of their noblest role in shaping the future of children and the nation.
Who traditionally became teachers in India?,Only the very best and most learned became teachers.
What did society provide to teachers or gurus in India?,"Society gave teachers what they needed to pass on their knowledge, skills, and ethics optimally to students."
What aspects of the teaching profession are not where they should be?,"The quality of teacher education, recruitment, deployment, service conditions, and empowerment of teachers."
What needs to be restored to inspire the best to enter the teaching profession?,The high respect for teachers and the high status of the teaching profession.
What is required to ensure the best possible future for our children and nation?,The motivation and empowerment of teachers.
What is the purpose of instituting merit-based scholarships for B.Ed. programmes?,"To ensure that outstanding students enter the teaching profession, especially from rural areas."
Which areas are especially targeted for incentives to attract teachers?,Areas that are currently facing acute shortage of quality teachers.
What is a key incentive for teaching in rural schools?,Provision of local housing near or on the school premises or increased housing allowances.
What will be strengthened to improve the quality of teacher eligibility tests?,"Teacher Eligibility Tests (TETs) will be strengthened to inculcate better test material, both in terms of content and pedagogy."
To which stages of school education will TETs be extended?,"The TETs will be extended to cover teachers across all stages (Foundational, Preparatory, Middle and Secondary) of school education."
What will be taken into account for the recruitment of subject teachers?,Suitable TET or NTA test scores in the corresponding subjects will be taken into account for recruitment.
What will become an integral part of teacher hiring to gauge passion and motivation for teaching?,A classroom demonstration or interview will become an integral part of teacher hiring at schools and school complexes.
What will the interviews be used to assess in teacher hiring?,These interviews will be used to assess comfort and proficiency in teaching in the local language.
"Who must also qualify through TET, a demonstration/interview, and knowledge of local language(s)?",Teachers in private schools must also qualify similarly.
Why might teachers be recruited to a school or school complex?,"To ensure an adequate number of teachers across subjects, particularly in subjects such as art, physical education, vocational education, and languages."
What could be considered to address teacher shortages across subjects?,The sharing of teachers across schools could be considered in accordance with the grouping-of-schools adopted by State/UT governments.
Who will be encouraged to hire local eminent persons or experts as 'master instructors'?,Schools/school complexes will be encouraged to hire local eminent persons or experts as 'master instructors'.
In which subjects could 'master instructors' be hired?,"In various subjects, such as traditional local arts, vocational crafts, entrepreneurship, agriculture, or any other subject where local expertise exists."
What is the benefit of hiring local eminent persons as 'master instructors'?,To benefit students and help preserve and promote local knowledge and professions.
What exercise will be conducted by each State to assess expected subject-wise teacher vacancies?,A technology-based comprehensive teacher-requirement planning forecasting exercise.
Over what period will the teacher-requirement planning forecasting exercise assess vacancies?,Over the next two decades.
Why will the initiatives in recruitment and deployment be scaled as needed over time?,"To fill all vacancies with qualified teachers, including local teachers, with suitable incentives for career management and progression."
With what will teacher education programmes and offerings align?,With the vacancies thus projected.
What is the primary goal of overhauling the service environment and culture of schools?,"To maximize the ability of teachers to do their jobs effectively and ensure that they are part of vibrant, caring, and inclusive communities."
Who shares the common goal of ensuring that children are learning?,"Teachers, students, parents, principals, and other support staff."
What is the first requirement to ensure decent and pleasant service conditions at schools?,"Adequate and safe infrastructure, including working toilets, clean drinking water, clean and attractive spaces, electricity, computing devices, internet, libraries, and sports and recreational resources."
"Who should receive a safe, inclusive, and effective learning environment?","Teachers and students, including children of all genders and children with disabilities."
"Why should in-service training have inputs on safety, health, and environment at workplace in schools?",To ensure that all teachers are sensitized to these requirements.
Why may State/UT Governments adopt innovative formats such as school complexes?,"For effective school governance, resource sharing, and community building."
What could the creation of school complexes help build?,Vibrant teacher communities.
What relationships could the hiring of teachers to school complexes create?,Relationships among schools across the school complex.
How would hiring to school complexes help teachers at very small schools?,They will not remain isolated and may become part of larger school complex communities.
What can school complexes share to support teachers?,"Counsellors, trained social workers, technical and maintenance staff, etc."
In collaboration with whom will teachers be more involved in the governance of schools/school complexes?,Parents and other key local stakeholders.
As members of what committees will teachers be more involved in governance?,School Management Committees/School Complex Management Committees.
"To prevent large amounts of time spent on non-teaching activities, what will teachers no longer be engaged in?","Work that is not directly related to teaching, particularly strenuous administrative tasks."
How much time will teachers spend on mid-day meal related work?,No more than a rationalized minimum time.
What will the role expectations of principals and teachers include to ensure positive learning environments?,Developing a caring and inclusive culture at their schools.
What autonomy will teachers be given to teach effectively?,More autonomy in choosing aspects of pedagogy.
On what aspect will teachers focus to ensure holistic development of students?,Socio-emotional learning.
For what will teachers be recognized?,Novel approaches to teaching that improve learning outcomes in their classrooms.
What opportunities will teachers be given for self-improvement?,"Teachers will be given continuous opportunities for self-improvement and to learn the latest innovations and advances in their professions. These opportunities will manifest in various forms such as local, regional, state, national, and international workshops. Additionally, online teacher development modules will be available to cater to the needs of educators across different locations. Through these avenues, teachers will have the chance to enhance their skills and stay updated with the latest trends and practices in education."
In what modes will the opportunities for self-improvement be offered?,"The opportunities for self-improvement will be offered in multiple modes, encompassing local, regional, state, national, and international workshops. These workshops will provide avenues for in-person interaction and learning. Additionally, online teacher development modules will be made available, allowing educators to participate in professional development activities remotely. This diverse range of modes ensures accessibility and flexibility in catering to the diverse needs of teachers."
How can teachers share ideas and best practices?,"Teachers can share ideas and best practices through various platforms, with a particular emphasis on online platforms. These platforms will be developed to facilitate seamless communication and collaboration among educators. Through online forums, discussion boards, and social media groups, teachers can exchange insights, strategies, and resources. This collaborative approach fosters a culture of continuous improvement and knowledge sharing within the teaching community."
How many hours of CPD opportunities will each teacher be expected to participate in every year?,"Each teacher will be expected to participate in at least 50 hours of CPD (Continuing Professional Development) opportunities every year for their own professional growth and development. This commitment to ongoing learning ensures that educators stay abreast of emerging trends, pedagogical approaches, and best practices in education. By engaging in CPD activities driven by their own interests, teachers can enhance their teaching effectiveness and student outcomes."
What areas will the CPD opportunities cover?,"CPD opportunities will systematically cover a broad spectrum of pedagogical topics essential for effective teaching. These include foundational literacy and numeracy, formative and adaptive assessment of learning outcomes, competency-based learning, and related pedagogies. Furthermore, CPD activities will explore innovative approaches such as experiential learning, arts-integrated instruction, sports-integrated teaching methods, and storytelling-based approaches. By addressing diverse areas of pedagogy, CPD initiatives aim to equip teachers with a comprehensive toolkit to meet the evolving needs of learners and promote holistic development."
What opportunities will School Principals and school complex leaders have for improving their leadership and management skills?,"School Principals and school complex leaders will have similar modular leadership/management workshops and online development opportunities and platforms to continuously improve their own leadership and management skills. These opportunities aim to enhance their capabilities in effectively leading and managing educational institutions. Through workshops and online platforms, leaders can stay updated with the latest practices and share best practices with each other."
How many hours of CPD modules will School Principals and school complex leaders be expected to participate in per year?,"School Principals and school complex leaders will be expected to participate in 50 hours or more of CPD (Continuing Professional Development) modules per year. These modules will cover leadership and management topics, as well as content and pedagogy with a specific focus on preparing and implementing pedagogical plans based on competency-based education."
How will outstanding teachers be incentivized and recognized according to the policy?,"Outstanding teachers will be recognized and promoted, and given salary raises, to incentivize all teachers to do their best work. A robust merit-based structure of tenure, promotion, and salary structure will be developed, with multiple levels within each teacher stage, that incentivizes and recognizes outstanding teachers. Assessment of performance will be based on peer reviews, attendance, commitment, hours of CPD, and other forms of service to the school and the community."
What does 'tenure' refer to in the context of careers according to the policy?,"In the context of careers, 'tenure' refers to confirmation for permanent employment, after due assessment of performance and contribution. It signifies the attainment of a permanent position within the educational institution based on merit and performance evaluations."
What does 'tenure track' refer to according to the policy?,"In the context of careers, 'tenure track' refers to the period of probation preceding tenure. It denotes the probationary period during which a teacher's performance and suitability for permanent employment are assessed before being granted tenure."
What will be ensured regarding career growth for teachers within a single school stage according to the policy?,"It will be ensured that career growth, including tenure, promotions, and salary increases, is available to teachers within a single school stage (i.e., Foundational, Preparatory, Middle, or Secondary). There will be no career progression-related incentive to move from being teachers in early stages to later stages or vice versa, although such career moves across stages will be allowed if the teacher desires and possesses the qualifications for such a move. This policy aims to maintain a focus on quality teaching across all stages of school education."
How will vertical mobility of teachers be emphasized based on merit according to the policy?,"Vertical mobility of teachers based on merit will be paramount. Outstanding teachers with demonstrated leadership and management skills will be trained over time to take on academic leadership positions in various educational institutions and government departments. These positions may include schools, school complexes, BRCs (Block Resource Centers), CRCs (Cluster Resource Centers), BITEs (Block Institute of Teacher Education), DIETs (District Institute of Education and Training), and other relevant government departments. This emphasis on vertical mobility aims to recognize and utilize the talents of exceptional educators in positions of leadership and influence within the education system."
What is the purpose of the National Professional Standards for Teachers (NPST) according to the policy?,"The purpose of the National Professional Standards for Teachers (NPST) is to establish a common guiding set of standards that define the expectations of the role of the teacher at different levels of expertise or stage, and the competencies required for each stage. These standards will serve as a framework for performance appraisal and will inform the design of pre-service teacher education programs."
How will the NPST be developed according to the policy?,"The NPST will be developed by 2022 by the National Council for Teacher Education in its restructured form as a Professional Standard Setting Body (PSSB) under the General Education Council (GEC). This development process will involve consultation with various stakeholders including NCERT, SCERTs, teachers from across levels and regions, expert organizations in teacher preparation and development, expert bodies in vocational education, and higher education institutions."
What aspects of teacher career management will be determined by the adoption of NPST according to the policy?,"The adoption of NPST will determine all aspects of teacher career management, including tenure, professional development efforts, salary increases, promotions, and other recognitions. It emphasizes that promotions and salary increases will not be based on the length of tenure or seniority, but solely on performance appraisal."
How often will the professional standards be reviewed and revised according to the policy?,"The professional standards will be reviewed and revised in 2030, and thereafter every ten years, on the basis of rigorous empirical analysis of the efficacy of the system. This periodic review aims to ensure that the standards remain relevant and effective in meeting the evolving needs of the education system."
What are some examples of specialist requirements for additional special educators according to the policy?,"Some examples of specialist requirements for additional special educators include subject teaching for children with disabilities/Divyang children at the Middle and Secondary school level, including teaching for specific learning disabilities. These teachers would need both subject-teaching knowledge and understanding of subject-related aims of education, as well as the relevant skills for understanding the special requirements of children."
How will areas for secondary specializations for subject teachers or generalist teachers be developed according to the policy?,"Areas for secondary specializations for subject teachers or generalist teachers will be developed during or after pre-service teacher preparation. They will be offered as certificate courses, either full-time or part-time/blended courses, in the pre-service as well as in-service mode. These courses will be provided at multidisciplinary colleges or universities to ensure adequate availability of qualified special educators who can handle subject teaching."
What approach will be taken to ensure greater synergy between the course curriculum of NCTE and RCI according to the policy?,"To ensure greater synergy between the course curriculum of National Council for Teacher Education (NCTE) and Rehabilitation Council of India (RCI), a coordinated approach will be adopted. This approach aims to enable the adequate availability of qualified special educators who can handle subject teaching for children with disabilities/Divyang children. It emphasizes the necessity of multidisciplinary colleges or universities in offering certificate courses in both pre-service and in-service modes."
What is the proposed timeline for moving teacher education into multidisciplinary colleges and universities according to the policy?,Teacher education will gradually be moved into multidisciplinary colleges and universities by 2030.
What degrees will outstanding education departments aim to offer by 2030 according to the policy?,"Outstanding education departments will aim to offer B.Ed., M.Ed., and Ph.D. degrees in education by 2030."
What will be the minimum degree qualification for teaching by 2030 according to the policy?,"By 2030, the minimum degree qualification for teaching will be a 4-year integrated B.Ed. degree that teaches a range of knowledge content and pedagogy and includes strong practicum training in the form of student-teaching at local schools."
What type of B.Ed. programmes will be offered for those who have already obtained Bachelor’s Degrees in other specialized subjects according to the policy?,"For those who have already obtained Bachelor’s Degrees in other specialized subjects, 2-year B.Ed. programmes will be offered by the same multidisciplinary institutions offering the 4-year integrated B.Ed."
What arrangements will be made for offering B.Ed. programmes in blended or ODL mode to students in remote or difficult-to-access locations according to the policy?,Multidisciplinary higher education institutions offering the 4-year in-class integrated B.Ed. programme and having accreditation for Open and Distance Learning (ODL) may offer high-quality B.Ed. programmes in blended or ODL mode to students in remote or difficult-to-access locations. Suitable robust arrangements will be made for mentoring and for the practicum-training and student-teaching components of the programme.
What will be included in all B.Ed. programmes according to the policy?,"All B.Ed. programmes will include training in time-tested as well as the most recent techniques in pedagogy. This includes pedagogy with respect to foundational literacy and numeracy, multi-level teaching and evaluation, teaching children with disabilities, teaching children with special interests or talents, use of educational technology, and learner-centered and collaborative learning."
What form of practicum training will be included in all B.Ed. programmes according to the policy?,All B.Ed. programmes will include strong practicum training in the form of in-classroom teaching at local schools.
What will be emphasized in all B.Ed. programmes with regards to the Indian Constitution and other Constitutional provisions according to the policy?,All B.Ed. programmes will emphasize the practice of the Fundamental Duties (Article 51A) of the Indian Constitution along with other Constitutional provisions while teaching any subject or performing any activity.
How will environmental awareness and sensitivity towards its conservation and sustainable development be integrated into B.Ed. programmes according to the policy?,Environmental awareness and sensitivity towards its conservation and sustainable development will be appropriately integrated into all B.Ed. programmes. This integration aims to make environment education an integral part of school curricula.
What are special shorter local teacher education programmes aimed at according to the policy?,"Special shorter local teacher education programmes will be available at Block Institute of Teacher Education (BITEs), District Institute of Education and Training (DIETs), or at school complexes themselves. These programmes are intended for eminent local persons who can be hired to teach at schools or school complexes as 'master instructors'. They aim to promote local professions, knowledge, and skills, such as local art, music, agriculture, business, sports, carpentry, and other vocational crafts."
What type of post-B.Ed. certification courses will be made widely available according to the policy?,"Shorter post-B.Ed. certification courses will be made widely available at multidisciplinary colleges and universities. These courses are intended for teachers who may wish to move into more specialized areas of teaching, such as the teaching of students with disabilities, or into leadership and management positions in the schooling system, or to move from one stage to another between foundational, preparatory, middle, and secondary stages."
What role will NCERT play regarding pedagogical approaches internationally according to the policy?,"NCERT will study, research, document, and compile the varied international pedagogical approaches for teaching different subjects. It will then make recommendations on what can be learnt and assimilated from these approaches into the pedagogies being practiced in India."
What is the proposed timeline for formulating a new National Curriculum Framework for Teacher Education (NCFTE) according to the policy?,"By 2021, a new and comprehensive National Curriculum Framework for Teacher Education, NCFTE 2021, will be formulated by the National Council for Teacher Education (NCTE) in consultation with NCERT, based on the principles of the National Education Policy 2020."
What factors will be considered in the development of NCFTE 2021 according to the policy?,"The NCFTE 2021 will be developed after discussions with all stakeholders including State Governments, relevant Ministries/Departments of the Central Government, and various expert bodies. It will also factor in the requirements of teacher education curricula for vocational education."
How often will the NCFTE be revised according to the policy?,The NCFTE will be revised once every 5-10 years by reflecting the changes in revised National Curriculum Frameworks (NCFs) as well as emerging needs in teacher education.
What action will be taken against substandard stand-alone Teacher Education Institutions (TEIs) according to the policy?,"Stringent action will be taken against substandard stand-alone Teacher Education Institutions (TEIs) running in the country, including shutting them down if required, in order to fully restore the integrity of the teacher education system."
